Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2007","2007","kg/ha","51.3","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2008","2008","kg/ha","45.97","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2009","2009","kg/ha","31.93","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2010","2010","kg/ha","40.93","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2011","2011","kg/ha","58.65","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2012","2012","kg/ha","49.22","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2013","2013","kg/ha","61.34","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2014","2014","kg/ha","55.08","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2015","2015","kg/ha","50.03","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2016","2016","kg/ha","51.95","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2017","2017","kg/ha","66.31","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2018","2018","kg/ha","50.35","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2019","2019","kg/ha","43.55","E","Estimated value"
"EF","Fertilizers indicators","704","Viet Nam","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2020","2020","kg/ha","52.85","E","Estimated value"
