Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","millions","194930.597274","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","millions","197831.173215","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","millions","205500.393249","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2018","2018","millions","221412.437253","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","040","Austria","6110","Value US$","23130","Total Expenditure (General Government)","2019","2019","millions","215282.806963","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","millions","8326.518108","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","millions","10858.676338","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","millions","14670.047172","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","millions","17739.584813","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","millions","22601.278957","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","millions","29592.866028","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","millions","23502.772357","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","millions","24855.360335","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","millions","21984.032339","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","millions","26220.063068","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","millions","31415.129584","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","millions","31027.188509","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","millions","22372.185538","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","millions","19309.273307","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","millions","22651.628975","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2018","2018","millions","24354.095195","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","112","Belarus","6110","Value US$","23130","Total Expenditure (General Government)","2019","2019","millions","26216.534682","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2001","2001","millions","115777.040026","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2002","2002","millions","126669.699159","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","millions","159757.947574","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","millions","179276.72546","X","Figure from international organizations","Consolidated General Government Expenditure"
