Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","1996","1996","millions","4323.513092","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","1997","1997","millions","2668.974816","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","1998","1998","millions","4571.855707","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","1999","1999","millions","2974.499988","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2000","2000","millions","8501.013451","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2001","2001","millions","5689.434546","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2002","2002","millions","138.346431","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2003","2003","millions","6195.021861","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2004","2004","millions","3183.64965","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2005","2005","millions","10784.460031","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2006","2006","millions","4754.757314","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2007","2007","millions","25484.267175","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2008","2008","millions","7226.097231","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2009","2009","millions","9268.299689","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2010","2010","millions","2575.463407","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2011","2011","millions","10615.649537","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2012","2012","millions","3988.877646","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2013","2013","millions","5721.210459","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2014","2014","millions","4583.147657","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2015","2015","millions","1488.357813","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","-8508.306429","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","14953.062086","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","5287.327675","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","967.544649","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","040","Austria","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","-17339.686992","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","1992","1992","millions","7","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","1993","1993","millions","17.6","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","1994","1994","millions","10.5","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","1995","1995","millions","14.7","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","1996","1996","millions","104.5","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","1997","1997","millions","351.6","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","1998","1998","millions","190.844969","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","1999","1999","millions","444","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2000","2000","millions","118.8","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2001","2001","millions","95.8","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2002","2002","millions","247.1","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2003","2003","millions","171.8","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2004","2004","millions","163.8","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2005","2005","millions","306.6","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2006","2006","millions","357.1","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2007","2007","millions","1807.3","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2008","2008","millions","2187.9","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2009","2009","millions","1876.5","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2010","2010","millions","1393.4","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2011","2011","millions","4002.4","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2012","2012","millions","1429.3","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2013","2013","millions","2229.6","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2014","2014","millions","1827.6","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2015","2015","millions","1667.9","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1237.8","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1278.5","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1421","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","1293.1","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","112","Belarus","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","1396.8","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2002","2002","millions","16250.529387","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2003","2003","millions","33476.141999","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2004","2004","millions","43557.889901","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2005","2005","millions","34370.491966","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2006","2006","millions","58892.968747","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2007","2007","millions","93430.672919","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2008","2008","millions","-13857.252719","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2009","2009","millions","64440.440485","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2010","2010","millions","57583.322848","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2011","2011","millions","83366.349021","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2012","2012","millions","11670.397048","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2013","2013","millions","23898.001195","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2014","2014","millions","-3505.905172","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2015","2015","millions","28331.299234","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","59242.655686","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","-708.306504","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","30820.575078","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","2886.006117","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","056","Belgium","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","8437.406483","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","058","Belgium-Luxembourg","6110","Value US$","23082","Total FDI inflows","1991","1991","millions","9362.56","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","058","Belgium-Luxembourg","6110","Value US$","23082","Total FDI inflows","1992","1992","millions","11285.8","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","058","Belgium-Luxembourg","6110","Value US$","23082","Total FDI inflows","1993","1993","millions","10750","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","058","Belgium-Luxembourg","6110","Value US$","23082","Total FDI inflows","1994","1994","millions","8513.58","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","058","Belgium-Luxembourg","6110","Value US$","23082","Total FDI inflows","1995","1995","millions","10688.7","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","058","Belgium-Luxembourg","6110","Value US$","23082","Total FDI inflows","1996","1996","millions","14063.9","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","058","Belgium-Luxembourg","6110","Value US$","23082","Total FDI inflows","1997","1997","millions","11998.3","X","Figure from international organizations","UNCTAD"
